Date,Conservative,Labour,LD,UKIP,SDP,TIG,BXP,Green
2020-11-01,38.9,38.3,7.0,2.2,2.5,0.0,3.1,4.4
2020-12-01,38.9,38.3,7.1,1.8,2.5,0.0,2.4,5.0
2021-01-01,39.9,38.2,6.8,1.5,2.5,0.0,2.0,4.6
2021-02-01,41.3,36.5,7.2,1.5,2.5,0.0,2.4,4.9
2021-03-01,42.6,35.6,7.1,1.6,2.5,0.0,2.3,5.0
2021-04-01,42.3,34.8,7.5,1.5,2.5,0.0,2.2,5.1
2021-05-01,43.4,32.9,8.0,1.0,2.5,0.0,2.0,6.0
2021-06-01,43.1,33.0,8.2,2.3,2.5,0.0,2.4,5.9
2021-07-01,41.1,33.6,9.4,1.3,2.5,0.0,2.2,5.9
2021-08-01,40.3,33.9,9.4,2.0,2.5,0.0,2.7,5.8
2021-09-01,39.2,34.7,8.9,1.3,2.5,0.0,3.1,6.4
2021-10-01,38.9,34.9,8.4,1.0,2.5,0.0,3.1,6.8
2021-11-01,36.5,36.9,8.9,2.0,2.5,0.0,3.6,6.3
2021-12-01,33.4,38.4,9.9,1.1,2.5,0.0,4.3,5.9
2022-01-01,31.8,40.6,10.5,1.0,2.5,0.0,3.3,5.7
2022-02-01,33.2,40.0,10.0,1.0,2.5,0.0,3.4,5.7
2022-03-01,35.0,38.7,9.6,1.0,2.5,0.0,3.3,5.7
2022-04-01,33.6,40.3,9.6,1.7,2.5,0.0,3.1,5.5
2022-05-01,32.8,39.9,11.0,1.0,2.5,0.0,3.2,5.5
2022-06-01,32.7,39.7,12.0,1.0,2.5,0.0,3.1,5.3
2022-07-01,31.5,40.9,11.7,1.3,2.5,0.0,3.4,5.7
2022-08-01,31.6,40.8,11.7,0.8,2.5,0.0,3.2,5.6
2022-09-01,29.9,44.1,10.4,1.6,2.5,0.0,2.9,5.4
2022-10-01,23.6,51.5,9.7,1.5,2.5,0.0,3.6,4.7
2022-11-01,26.3,47.7,9.0,1.7,2.5,0.0,5.1,4.8
2022-12-01,26.2,46.7,8.9,1.3,2.5,0.0,6.0,5.0
2023-01-01,26.1,47.1,8.9,2.0,2.5,0.0,5.7,5.1
2023-02-01,25.8,47.3,9.0,0.9,2.5,0.0,6.0,5.1
2023-03-01,27.4,46.0,9.0,1.0,2.5,0.0,5.7,5.2
2023-04-01,28.8,44.2,9.9,1.5,2.5,0.0,5.8,5.0
2023-05-01,28.0,44.4,10.7,1.0,2.5,0.0,5.5,5.2
2023-06-01,27.2,45.0,10.8,0.9,2.5,0.0,5.7,5.4
2023-07-01,26.3,45.8,10.7,1.2,2.5,0.0,6.1,5.2
2023-08-01,26.5,45.0,10.6,1.2,2.5,0.0,6.7,5.7
2023-09-01,26.3,44.4,10.8,1.3,2.5,0.0,6.6,6.1
